N,Componente,Nombre,Capa CAD,Medidas mm,Cantidad,Material,Fabricacion,Confianza
25,Contrafondo y cerramientos,Chapa 1/8 pulg. 4x39x92,Chapa 1/8,4x39x92,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
26,Contrafondo y cerramientos,Chapa 1/8 pulg. 4x46x90,Chapa 1/8,4x46x90,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
27,Contrafondo y cerramientos,Chapa 1/8 pulg. 4x43x83,Chapa 1/8,4x43x83,2,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
28,Contrafondo y cerramientos,Chapa 1/8 pulg. 3x58x77,Chapa 1/8,3x58x77,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
29,"Mecanismo de giro (ejes, acoples, rodamientos)",Fondo de brazo 6x40x329,FondoBrazo,6x40x329,2,,mecanizar / imprimir (VER CAD),envolvente
30,"Mecanismo de giro (ejes, acoples, rodamientos)",Buje PTFE 2x4x311,Buje-PTFE,2x4x311,1,PTFE,mecanizar / imprimir (VER CAD),envolvente
31,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople 8 a 5 7x18x310,ACOPLE 8 a 5,7x18x310,1,,mecanizar / imprimir (VER CAD),envolvente
32,"Mecanismo de giro (ejes, acoples, rodamientos)",Soporte antivibracion 29x64x73,SoporT-AntiVib,29x64x73,1,,VER CAD,envolvente
33,"Mecanismo de giro (ejes, acoples, rodamientos)",Rodamiento lineal HLM8UU 19x19x54,RodamientoHLM8UU,19x19x54,1,Rodamiento lineal HLM8UU,comprar,estandar
34,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople PA6 6x24x31,AcoplesPA6,6x24x31,2,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
35,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople PA6 6x27x31,AcoplesPA6,6x27x31,1,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
36,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople 8 a 5 8x8x30,ACOPLE 8 a 5,8x8x30,2,,mecanizar / imprimir (VER CAD),envolvente
37,"Mecanismo de giro (ejes, acoples, rodamientos)",Rodamiento 626 6x19x19,Rodamiento626,6x19x19,11,Rodamiento 626 - 6x19x6 mm,comprar,estandar
38,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople 8 a 5 6x13x15,ACOPLE 8 a 5,6x13x15,2,,mecanizar / imprimir (VER CAD),envolvente
39,"Mecanismo de giro (ejes, acoples, rodamientos)",Rodamiento 624 5x13x13,Rodamiento624,5x13x13,3,Rodamiento 624 - 4x13x5 mm,comprar,estandar
40,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople 8 a 5 2x6x6,ACOPLE 8 a 5,2x6x6,10,,mecanizar / imprimir (VER CAD),envolvente
41,"Mecanismo de giro (ejes, acoples, rodamientos)",Buje PTFE 4x5x5,Buje-PTFE,4x5x5,1,PTFE,mecanizar / imprimir (VER CAD),envolvente
42,"Mecanismo de giro (ejes, acoples, rodamientos)",Acople 8 a 5 2x5x5,ACOPLE 8 a 5,2x5x5,2,,mecanizar / imprimir (VER CAD),envolvente
43,Transmision y guiado,Guia de cremallera 11x11x317,GUIA-CREMA,11x11x317,1,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
44,Transmision y guiado,Cremallera dentada 24x64x213,Cremayera,24x64x213,1,,mecanizar / imprimir (VER CAD),envolvente
45,Transmision y guiado,Cremallera dentada 24x65x165,Cremayera,24x65x165,1,,mecanizar / imprimir (VER CAD),envolvente
46,Transmision y guiado,Guia de cremallera 14x21x63,GUIA-CREMA,14x21x63,2,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
47,Transmision y guiado,Polea dentada 33x50x50,PoleaDentada,33x50x50,1,,mecanizar / imprimir (VER CAD),envolvente
48,Transmision y guiado,Barra avance Z 8x8x30,Barra Avance Z,8x8x30,2,,VER CAD,envolvente
49,Transmision y guiado,Cremallera dentada 4x4x11,Cremayera,4x4x11,2,,mecanizar / imprimir (VER CAD),envolvente
50,Bandejas y bastidor giratorio,Bandeja fija 18x18x481,BandejasFijas,18x18x481,6,,VER CAD,envolvente
51,Bandejas y bastidor giratorio,Bandeja fija 18x18x480,BandejasFijas,18x18x480,3,,VER CAD,envolvente
52,Bandejas y bastidor giratorio,Bandeja fija 16x98x98,BandejasFijas,16x98x98,6,,VER CAD,envolvente
53,Bandejas y bastidor giratorio,Hombro de bandeja 14x33x89,HombroBandej,14x33x89,6,,VER CAD,envolvente
54,Bandejas y bastidor giratorio,Acople bandeja-eje 19x19x55,AcopleBandejaEje,19x19x55,6,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
55,Bandejas y bastidor giratorio,Acople bandeja-eje 8x8x48,AcopleBandejaEje,8x8x48,12,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
56,Bandejas y bastidor giratorio,Acople bandeja-eje 19x19x39,AcopleBandejaEje,19x19x39,3,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
57,Bandejas y bastidor giratorio,Acople bandeja-eje 12x19x19,AcopleBandejaEje,12x19x19,12,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
58,Bandejas y bastidor giratorio,Acople bandeja-eje 2x14x14,AcopleBandejaEje,2x14x14,30,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
59,Bandejas y bastidor giratorio,Acople bandeja-eje 0x9x9,AcopleBandejaEje,0x9x9,12,Nylon PA6,mecanizar / imprimir (VER CAD),envolvente
60,Bandejas y bastidor giratorio,Bandeja huevera 0x0x0,huevera,0x0x0,23,,VER CAD,instancia (VER CAD)
61,Puerta,Frente policarbonato 5x486x1189,FRENTE-PC,5x486x1189,2,,cortar tablero (VER CAD),envolvente
62,Puerta,Puerta U 2219 23x26x1015,U 2219 - Door,23x26x1015,2,,VER CAD,envolvente
63,Puerta,Puerta U 2219 23x26x542,U 2219 - Door,23x26x542,2,,VER CAD,envolvente
64,Puerta,Tapas 11x277x387,Tapas,11x277x387,1,,VER CAD,envolvente
65,Puerta,Tapas 6x241x332,Tapas,6x241x332,1,,VER CAD,envolvente
66,Puerta,Tapas 11x168x173,Tapas,11x168x173,1,,VER CAD,envolvente
67,Puerta,Tapas 6x150x154,Tapas,6x150x154,1,,VER CAD,envolvente
68,Puerta,Bisagra puerta 8x35x76,BisagraP,8x35x76,4,,VER CAD,envolvente
69,Puerta,Ventilacion de puerta 22x22x31,VentilacionDoor,22x22x31,2,,VER CAD,envolvente
70,Actuadores y electrica,Chapa soporte cooler 170x232x461,ChapaCooler,170x232x461,1,Chapa metalica plegada,comprar,envolvente (VER CAD)
71,Actuadores y electrica,Bomba y accesorios 108x109x240,BombaStuff,108x109x240,1,Bomba comercial,comprar,estandar
72,Actuadores y electrica,Bomba y accesorios 162x168x208,BombaStuff,162x168x208,1,Bomba comercial,comprar,estandar
73,Actuadores y electrica,Cooler 154x174x204,Cooler,154x174x204,1,Ventilador / cooler comercial,comprar,estandar
74,Actuadores y electrica,Bomba y accesorios 65x104x124,BombaStuff,65x104x124,1,Bomba comercial,comprar,estandar
75,Actuadores y electrica,Bomba y accesorios 67x85x121,BombaStuff,67x85x121,1,Bomba comercial,comprar,estandar
76,Actuadores y electrica,Bomba y accesorios 14x111x111,BombaStuff,14x111x111,1,Bomba comercial,comprar,estandar
77,Actuadores y electrica,Bomba y accesorios 2x107x107,BombaStuff,2x107x107,2,Bomba comercial,comprar,estandar
78,Actuadores y electrica,Bomba y accesorios 58x66x67,BombaStuff,58x66x67,1,Bomba comercial,comprar,estandar
79,Actuadores y electrica,Bomba y accesorios 38x39x57,BombaStuff,38x39x57,1,Bomba comercial,comprar,estandar
80,Actuadores y electrica,Bomba y accesorios 26x37x37,BombaStuff,26x37x37,1,Bomba comercial,comprar,estandar
81,Actuadores y electrica,Chapa soporte cooler 0x12x16,ChapaCooler,0x12x16,1,Chapa metalica plegada,comprar,envolvente (VER CAD)
82,Actuadores y electrica,Chapa soporte cooler 0x4x5,ChapaCooler,0x4x5,1,Chapa metalica plegada,comprar,envolvente (VER CAD)
83,Tornilleria,Tornillo M5 6x6x48,Tornillo M5,6x6x48,4,Fijacion comercial,comprar,estandar
84,Tornilleria,Tornillo M5 6x6x44,Tornillo M5,6x6x44,4,Fijacion comercial,comprar,estandar
85,Tornilleria,Tornillo M4 4x4x30,Tornillo M4,4x4x30,4,Fijacion comercial,comprar,estandar
86,Tornilleria,Tornillo M5 6x6x26,Tornillo M5,6x6x26,4,Fijacion comercial,comprar,estandar
87,Tornilleria,Tornillo M3 3x3x25,Tornillo M3,3x3x25,4,Fijacion comercial,comprar,estandar
88,Tornilleria,Tornillo M4 4x4x24,Tornillo M4,4x4x24,6,Fijacion comercial,comprar,estandar
89,Tornilleria,Tornillo M5 6x6x24,Tornillo M5,6x6x24,4,Fijacion comercial,comprar,estandar
90,Tornilleria,Tornillo M3 3x3x23,Tornillo M3,3x3x23,4,Fijacion comercial,comprar,estandar
91,Tornilleria,Tornillo M4 4x4x20,Tornillo M4,4x4x20,2,Fijacion comercial,comprar,estandar
92,Tornilleria,Tornillo M3 3x3x16,Tornillo M3,3x3x16,3,Fijacion comercial,comprar,estandar
93,Tornilleria,Tuercas M8 7x16x16,Tuercas M8,7x16x16,2,Fijacion comercial,comprar,estandar
94,Tornilleria,Tornillo M3 3x3x15,Tornillo M3,3x3x15,3,Fijacion comercial,comprar,estandar
95,Tornilleria,TuercasM6 11x14x14,TuercasM6,11x14x14,39,Fijacion comercial,comprar,estandar
96,Tornilleria,Tuercas M5 4x12x12,Tuercas M5,4x12x12,8,Fijacion comercial,comprar,estandar
97,Tornilleria,Tornillo M3 3x3x12,Tornillo M3,3x3x12,3,Fijacion comercial,comprar,estandar
98,Tornilleria,Tuercas M4 3x12x12,Tuercas M4,3x12x12,5,Fijacion comercial,comprar,estandar
99,Tornilleria,Tornillo M3 3x3x10,Tornillo M3,3x3x10,3,Fijacion comercial,comprar,estandar
100,Tornilleria,Tornillo M5 3x10x10,Tornillo M5,3x10x10,8,Fijacion comercial,comprar,estandar
101,Tornilleria,TuercasM6 8x10x10,TuercasM6,8x10x10,5,Fijacion comercial,comprar,estandar
102,Tornilleria,Tuercas M3 3x9x9,Tuercas M3,3x9x9,11,Fijacion comercial,comprar,estandar
103,Tornilleria,Tornillo M4 2x7x7,Tornillo M4,2x7x7,6,Fijacion comercial,comprar,estandar
104,Tornilleria,TuercasM6 1x7x7,TuercasM6,1x7x7,33,Fijacion comercial,comprar,estandar
105,Tornilleria,Tornillo M3 1x5x5,Tornillo M3,1x5x5,7,Fijacion comercial,comprar,estandar
106,Tornilleria,TuercasM6 1x5x5,TuercasM6,1x5x5,5,Fijacion comercial,comprar,estandar
107,Referencias visuales,Auxiliar1 4x53x488,Auxiliar1,4x53x488,2,,referencia visual,envolvente
108,Referencias visuales,Auxiliar1 22x24x148,Auxiliar1,22x24x148,2,,referencia visual,envolvente
109,Referencias visuales,Auxiliar2 43x43x121,Auxiliar2,43x43x121,1,,referencia visual,envolvente
110,Referencias visuales,Auxiliar1 22x78x90,Auxiliar1,22x78x90,2,,referencia visual,envolvente
111,Referencias visuales,Auxiliar3 29x71x73,Auxiliar3,29x71x73,1,,referencia visual,envolvente
112,Referencias visuales,Auxiliar1 22x53x65,Auxiliar1,22x53x65,2,,referencia visual,envolvente
113,Referencias visuales,Auxiliar1 23x24x60,Auxiliar1,23x24x60,2,,referencia visual,envolvente
114,Referencias visuales,Reguetones 23x48x48,Reguetones,23x48x48,6,,referencia visual,envolvente
115,Referencias visuales,Reguetones 11x11x40,Reguetones,11x11x40,4,,referencia visual,envolvente
116,Referencias visuales,Auxiliar1 19x29x38,Auxiliar1,19x29x38,1,,referencia visual,envolvente
117,Referencias visuales,Reguetones 2x22x22,Reguetones,2x22x22,4,,referencia visual,envolvente
118,Referencias visuales,Letritas 0x20x22,Letritas,0x20x22,1,,referencia visual,envolvente
119,Referencias visuales,Letritas 0x17x20,Letritas,0x17x20,1,,referencia visual,envolvente
120,Referencias visuales,Letritas 0x3x20,Letritas,0x3x20,1,,referencia visual,envolvente
121,Referencias visuales,Letritas 0x10x20,Letritas,0x10x20,1,,referencia visual,envolvente
122,Referencias visuales,Letritas 0x13x20,Letritas,0x13x20,1,,referencia visual,envolvente
123,Referencias visuales,Letritas 0x11x20,Letritas,0x11x20,1,,referencia visual,envolvente
124,Referencias visuales,Letritas 0x15x20,Letritas,0x15x20,4,,referencia visual,envolvente
125,Referencias visuales,Pelos 0x0x19,Pelos,0x0x19,780,,referencia visual,envolvente
126,Referencias visuales,Auxiliar1 13x13x16,Auxiliar1,13x13x16,2,,referencia visual,envolvente
127,Referencias visuales,Auxiliar1 1x12x12,Auxiliar1,1x12x12,8,,referencia visual,envolvente
128,Referencias visuales,Auxiliar1 1x10x10,Auxiliar1,1x10x10,4,,referencia visual,envolvente
129,Referencias visuales,Auxiliar1 1x9x9,Auxiliar1,1x9x9,7,,referencia visual,envolvente
130,Otros / VER CAD,BASE 8x22x1170,BASE,8x22x1170,2,,VER CAD,envolvente (VER CAD)
131,Otros / VER CAD,BASE 8x22x588,BASE,8x22x588,2,,VER CAD,envolvente (VER CAD)
132,Otros / VER CAD,BASE 0x330x456,BASE,0x330x456,1,,VER CAD,envolvente (VER CAD)
133,Otros / VER CAD,BASE 108x252x372,BASE,108x252x372,1,,VER CAD,envolvente (VER CAD)
134,Otros / VER CAD,BASE 3x90x264,BASE,3x90x264,1,,VER CAD,envolvente (VER CAD)
135,Otros / VER CAD,BASE 30x46x139,BASE,30x46x139,2,,VER CAD,envolvente (VER CAD)
136,Otros / VER CAD,Herrajes traseros 6x38x136,HerrajesTraseros,6x38x136,2,,VER CAD,envolvente
137,Otros / VER CAD,BASE 48x96x132,BASE,48x96x132,1,,VER CAD,envolvente (VER CAD)
138,Otros / VER CAD,BASE 98x112x126,BASE,98x112x126,1,,VER CAD,envolvente (VER CAD)
139,Otros / VER CAD,BASE 18x108x120,BASE,18x108x120,1,,VER CAD,envolvente (VER CAD)
140,Otros / VER CAD,Herrajes traseros 6x38x113,HerrajesTraseros,6x38x113,1,,VER CAD,envolvente
141,Otros / VER CAD,BASE 41x48x108,BASE,41x48x108,1,,VER CAD,envolvente (VER CAD)
142,Otros / VER CAD,BASE 22x48x96,BASE,22x48x96,3,,VER CAD,envolvente (VER CAD)
143,Otros / VER CAD,BASE 7x28x95,BASE,7x28x95,1,,VER CAD,envolvente (VER CAD)
144,Otros / VER CAD,Separador PAI 4x75x90,SeparadorPAI,4x75x90,1,,VER CAD,envolvente
145,Otros / VER CAD,BASE 7x29x67,BASE,7x29x67,1,,VER CAD,envolvente (VER CAD)
146,Otros / VER CAD,BASE 18x48x60,BASE,18x48x60,1,,VER CAD,envolvente (VER CAD)
147,Otros / VER CAD,BASE 41x45x54,BASE,41x45x54,1,,VER CAD,envolvente (VER CAD)
148,Otros / VER CAD,Boquilla alta 18x20x50,BoquillaAltaP,18x20x50,1,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
149,Otros / VER CAD,BASE 18x24x48,BASE,18x24x48,1,,VER CAD,envolvente (VER CAD)
150,Otros / VER CAD,BASE 18x48x48,BASE,18x48x48,1,,VER CAD,envolvente (VER CAD)
151,Otros / VER CAD,BASE 19x38x44,BASE,19x38x44,1,,VER CAD,envolvente (VER CAD)
152,Otros / VER CAD,Boquilla alta 17x17x44,BoquillaAltaP,17x17x44,1,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
153,Otros / VER CAD,BASE 12x18x38,BASE,12x18x38,1,,VER CAD,envolvente (VER CAD)
154,Otros / VER CAD,BASE 19x19x28,BASE,19x19x28,3,,VER CAD,envolvente (VER CAD)
155,Otros / VER CAD,Boquilla alta 11x11x28,BoquillaAltaP,11x11x28,1,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
156,Otros / VER CAD,BASE 24x24x25,BASE,24x24x25,1,,VER CAD,envolvente (VER CAD)
157,Otros / VER CAD,BASE 10x10x16,BASE,10x10x16,15,,VER CAD,envolvente (VER CAD)
158,Otros / VER CAD,Boquilla alta 10x10x16,BoquillaAltaP,10x10x16,2,,mecanizar / imprimir (VER CAD),envolvente (VER CAD)
159,Otros / VER CAD,BASE 13x13x16,BASE,13x13x16,5,,VER CAD,envolvente (VER CAD)
160,Otros / VER CAD,BASE 14x14x16,BASE,14x14x16,2,,VER CAD,envolvente (VER CAD)
161,Otros / VER CAD,BASE 2x14x14,BASE,2x14x14,9,,VER CAD,envolvente (VER CAD)
162,Otros / VER CAD,BASE 0x1x1,BASE,0x1x1,1,,VER CAD,instancia (VER CAD)
